Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceOverMean
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,PConc,Gd,TA,No,GLQ,706,856,GasA,Ex,Y,SBrkr,856,854,3,1,Gd,8,Typ,0,NA,Attchd,2003,2,548,TA,Y,0,0,NA,NA,2,2008,WD,Normal,208500,TRUE
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,CBlock,Gd,TA,Gd,ALQ,978,1262,GasA,Ex,Y,SBrkr,1262,0,3,1,TA,6,Typ,1,TA,Attchd,1976,2,460,TA,Y,298,0,NA,NA,5,2007,WD,Normal,181500,TRUE
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,PConc,Gd,TA,Mn,GLQ,486,920,GasA,Ex,Y,SBrkr,920,866,3,1,Gd,6,Typ,1,TA,Attchd,2001,2,608,TA,Y,0,0,NA,NA,9,2008,WD,Normal,223500,TRUE
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,BrkTil,TA,Gd,No,ALQ,216,756,GasA,Gd,Y,SBrkr,961,756,3,1,Gd,7,Typ,1,Gd,Detchd,1998,3,642,TA,Y,0,0,NA,NA,2,2006,WD,Abnorml,140000,FALSE
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,GLQ,655,1145,GasA,Ex,Y,SBrkr,1145,1053,4,1,Gd,9,Typ,1,TA,Attchd,2000,3,836,TA,Y,192,0,NA,NA,12,2008,WD,Normal,250000,TRUE
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,Wood,Gd,TA,No,GLQ,732,796,GasA,Ex,Y,SBrkr,796,566,1,1,TA,5,Typ,0,NA,Attchd,1993,2,480,TA,Y,40,0,NA,MnPrv,10,2009,WD,Normal,143000,FALSE
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,GLQ,1369,1686,GasA,Ex,Y,SBrkr,1694,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,2,636,TA,Y,255,0,NA,NA,8,2007,WD,Normal,307000,TRUE
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,CBlock,Gd,TA,Mn,ALQ,859,1107,GasA,Ex,Y,SBrkr,1107,983,3,1,TA,7,Typ,2,TA,Attchd,1973,2,484,TA,Y,235,0,NA,NA,11,2009,WD,Normal,200000,TRUE
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,BrkTil,TA,TA,No,Unf,0,952,GasA,Gd,Y,FuseF,1022,752,2,2,TA,8,Min1,2,TA,Detchd,1931,2,468,Fa,Y,90,0,NA,NA,4,2008,WD,Abnorml,129900,FALSE
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,BrkTil,TA,TA,No,GLQ,851,991,GasA,Ex,Y,SBrkr,1077,0,2,2,TA,5,Typ,2,TA,Attchd,1939,1,205,Gd,Y,0,0,NA,NA,1,2008,WD,Normal,118000,FALSE
